Date,img_path,0,1,2,3,4
2020-01-24,56FinallymadeittoAngkorWat3.jpg,#d6d1c3,#d4c9b8,#cbbcaa,#c3aa96,#b0907c
2020-01-24,55More-from-around-Angkor-Wat1.jpg,#c5c9c9,#aca6a3,#998983,#83665e,#1d1c1d
2020-01-24,58Reflections-on-a-thousand-Buddhas9.jpg,#b6b4ae,#a9a7a1,#9b948d,#8a7e77,#6d6359
2020-01-25,51SomemorefromAngkorThom8.jpg,#d1d9d7,#b7bab8,#a4a29d,#978b85,#86655a
2020-01-25,53AngkorThomtoday3.jpg,#c5c8c4,#b4b5b1,#a9a6a0,#9d958e,#8f7f77
2020-02-01,48Reallylovingtheremorque-sinCambodia1.jpg,#cac0af,#bcae9e,#ab9583,#9b7764,#504235
2020-02-04,45IwenttoafarminSiemReap-3.jpg,#acaaa2,#a29c92,#9c8f84,#927e72,#87695b
2020-02-08,44ArrivedinBangkok1.jpg,#b3bbb5,#a8a7a1,#989690,#8f8078,#836359
2020-02-20,43Liltree6.jpg,#ccd9e3,#b6c0c7,#a2adb4,#a58887,#8f6360
2020-02-20,42Cafecat1.jpg,#c3c3bb,#afa9a1,#9a8675,#705b3f,#372510
2020-02-21,41Mouseinprofile2.jpg,#dde3eb,#cec9c9,#bfaca7,#ae897d,#37262b
2020-02-22,40Whyarehandssohard-6.jpg,#c8c0b8,#b8a494,#84786c,#4a2b33,#1d1723
2020-02-26,39Doesn-tlikegreentea6.jpg,#b1aea5,#a09c93,#8e8074,#5e5a56,#2c2f34
2020-03-01,38Britishcarday0.jpg,#c4cacd,#b0afab,#9a8a84,#66564f,#2f180d
2020-03-04,35Attheembassy3.jpg,#fcfcfc,#cfcfcf,#979798,#59595b,#1e1e1f
2020-03-04,36Financier2.jpg,#fdfdfd,#cacaca,#959595,#585859,#1c1c1e
2020-04-04,34Purpleperiod8.png,#fefcfe,#ead0ed,#d7a6dd,#bd7ec5,#965d9d
2020-04-12,32Elementary0.jpg,#fdfefe,#bbd4e5,#7da9ce,#5587b1,#346893
2020-04-12,33AtticusPunding5.png,#fefeff,#bad2e7,#80aad1,#4c87bc,#1a5898
2020-04-14,31Scribblingtomediocrity3.png,#fdfefe,#e0e8ef,#b8cada,#88a7c2,#507fa6
2020-04-15,30Painpoint4.png,#fefffe,#eff6de,#dcebb5,#c3de7e,#a2cb31
2020-04-17,29Subjectsstartingtorundry2.jpg,#fefffd,#e3edc7,#c7db91,#b0ce5b,#94be1c
