Sinhala,English
owu,yes
nae,no
nemeyi,(am/are/is) not
haa,okay
kan nam,(I) will eat
sthoo-thi,thank you
dhen na,give (command)
en na,come
yan na,go (command)
me ka ,this (thing)
ma gen,from me
o yaa gen,from you
ma ta,to/for me
ka na va,eating
